feature,star neighbors
0,
1,51 52 57 58 59 60 61 62 63
2,51 52 57 58 59 60 61 62 63
3,51 52 57 58 59 60 61 62 63
4,49 50 56
5,15 19 23 30 34 37 39 65
6,15 19 22 23 30 34 37 39 65
7,13 16 17 18 24 25 26 27 28 40 43 44 47
8,
9,46
10,15 19 23 30 34 37 39 65
11,
12,65 66
13,
14,65 66
15,65
16,
17,
18,
19,65
20,
21,65 66
22,65 66
23,
24,
25,
26,
27,
28,
29,67
30,65
31,
32,
33,
34,65 66
35,
36,65 66
37,65
38,
39,65
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,56
50,56
51,57 58 59 60 61 62 63
52,57 58 59 60 61 62 63
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
