feature,star neighbors
710,2028 2030 2031 2034 2042 4011 4014 4025 4092 4094 4125 4160 4168 4566 4570 4603 4625 4633 4634 4673 4693 5544 5546 5548 5571 5573 5574 5575 5577 5578 5579 5586 6663 6664 6665 6667 6668
711,2342 2619 3304 3306 3368 3652 3654 3655 3656 3661 3663 3669 3780 3782 3955 6839 6862 6919
712,3783 3825
713,3783 3825
714,2259 4361 6799 6819 6837 6840 6841 6845
715,
716,2358 2619 2654 2796 2848 2856 3355 3368 3401 3652 3654 3655 3668 3669 3687 6599 6625 6839 6844 6862 6919
717,2303 2323 2337 2358 2459 2460 2461 2462 2463 2464 2465 2466 2467 2468 2469 2470 2471 2472 2473 2474 2475 2476 2477 2478 2481 2482 2483 2484 2485 2486 2488 2559 2580 2616 2647 2648 2649 2650 2651 2652 2653 2654 2655 2659 2660 2661 2662 2665 2666 2667 2668 2669 2670 2671 2672 2673 2674 2675 2676 2677 2678 2679 2680 2681 2682 2683 2684 2685 2686 2687 2688 2693 2694 2695 2696 2697 2699 2700 2701 2702 2703 2704 2705 2706 2707 2708 2709 2710 2711 2712 2715 2716 2718 2719 2720 2721 2722 2723 2728 2729 2730 2733 2740 2746 2747 2748 2749 2750 2751 2752 2753 2754 2756 2758 2760 2762 2763 2765 2766 2767 2769 2772 2773 2777 2789 2790 2809 2810 2811 2812 2813 2816 2817 2818 2819 2820 2821 2822 2823 2824 2830 2831 2832 2833 2834 2835 2836 2841 2844 2847 2848 2853 2854 2856 2859 2860 2861 2862 2863 2864 2865 2867 2868 2869 2870 2871 2872 2873 2875 2876 2877 2878 2879 2880 2881 2882 2883 2884 2885 2886 2887 2888 2889 2890 2891 2892 2893 2894 2896 2899 2900 2901 2902 2903 2904 2905 2906 2907 2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2919 2920 2921 2922 2923 2924 2925 2926 2927 2928 2929 2932 2933 2934 2935 2942 2943 2955 2963 2964 2965 2968 2969 2970 2978 2979 2980 2981 2982 2983 2984 2985 2987 2988 2989 2990 2994 2995 2996 2997 2998 2999 3007 3008 3009 3011 3020 3021 3024 3025 3029 3030 3031 3033 3034 3035 3036 3037 3038 3039 3040 3041 3042 3046 3047 3048 3049 3050 3051 3053 3055 3067 3068 3069 3070 3076 3087 3090 3091 3092 3093 3094 3095 3096 3097 3099 3100 3101 3102 3103 3104 3105 3106 3107 3108 3109 3113 3115 3116 3117 3118 3120 3126 3127 3128 3131 3133 3134 3142 3144 3145 3149 3153 3155 3164 3166 3167 3168 3169 3170 3171 3172 3173 3174 3175 3177 3181 3182 3183 3184 3188 3189 3190 3193 3198 3199 3200 3201 3202 3203 3204 3206 3207 3208 3209 3210 3211 3212 3213 3214 3215 3216 3217 3218 3219 3221 3229 3232 3233 3234 3235 3238 3239 3241 3242 3243 3244 3245 3248 3249 3255 3256 3257 3260 3261 3262 3265 3266 3281 3282 3283 3401 3466 3654 3668 3717 3724 3984 5479 5480 5481 5530 5617 5618 5642 5643 5644 5645 5646 5647 5648 5652 5655 5656 5664 5666 5667 5677 5678 5679 5680 5681 5682 5683 5684 5685 5686 5687 5688 5689 5690 5746 5756 5785 5793 6519 6520 6521 6522 6523 6524 6525 6526 6527 6528 6529 6531 6532 6533 6534 6535 6542 6544 6545 6546 6547 6548 6549 6550 6551 6552 6553 6554 6555 6556 6557 6558 6559 6560 6561 6562 6563 6564 6565 6566 6567 6568 6569 6573 6578 6596 6598 6599 6611 6612 6613 6619 6620 6622 6624 6625 6626 6627 6683 6684 6685 6686 6687 6688 6689 6690 6691 6692 6693 6694 6695 6696 6697 6698 6699 6700 6701 6702 6703 6704 6705 6706 6707 6708 6827 6839 6844 6849 6862 6896 7087
718,2303 2323 2337 2358 2459 2460 2461 2462 2463 2464 2465 2466 2467 2468 2469 2470 2471 2472 2473 2474 2475 2476 2477 2478 2481 2482 2483 2484 2485 2486 2488 2559 2580 2616 2647 2648 2649 2650 2651 2652 2653 2654 2655 2659 2660 2661 2662 2665 2666 2667 2668 2669 2670 2671 2672 2673 2674 2675 2676 2677 2678 2679 2680 2681 2682 2683 2684 2685 2686 2687 2688 2693 2694 2695 2696 2697 2699 2700 2701 2702 2703 2704 2705 2706 2707 2708 2709 2710 2711 2712 2715 2716 2718 2719 2720 2721 2722 2723 2728 2729 2730 2733 2740 2746 2747 2748 2749 2750 2751 2752 2753 2754 2756 2758 2760 2762 2763 2765 2766 2767 2769 2772 2773 2777 2789 2790 2809 2810 2811 2812 2813 2816 2817 2818 2819 2820 2821 2822 2823 2824 2830 2831 2832 2833 2834 2835 2836 2841 2844 2847 2848 2853 2854 2856 2859 2860 2861 2862 2863 2864 2865 2867 2868 2869 2870 2871 2872 2873 2875 2876 2877 2878 2879 2880 2881 2882 2883 2884 2885 2886 2887 2888 2889 2890 2891 2892 2893 2894 2896 2899 2900 2901 2902 2903 2904 2905 2906 2907 2908 2909 2910 2911 2912 2913 2914 2915 2916 2917 2919 2920 2921 2922 2923 2924 2925 2926 2927 2928 2929 2932 2933 2934 2935 2942 2943 2955 2963 2964 2965 2968 2969 2970 2978 2979 2980 2981 2982 2983 2984 2985 2987 2988 2989 2990 2994 2995 2996 2997 2998 2999 3007 3008 3009 3011 3020 3021 3024 3025 3029 3030 3031 3033 3034 3035 3036 3037 3038 3039 3040 3041 3042 3046 3047 3048 3049 3050 3051 3053 3055 3067 3068 3069 3070 3076 3087 3090 3091 3092 3093 3094 3095 3096 3097 3099 3100 3101 3102 3103 3104 3105 3106 3107 3108 3109 3113 3115 3116 3117 3118 3120 3126 3127 3128 3131 3133 3134 3142 3144 3145 3149 3153 3155 3164 3166 3167 3168 3169 3170 3171 3172 3173 3174 3175 3177 3181 3182 3183 3184 3188 3189 3190 3193 3198 3199 3200 3201 3202 3203 3204 3206 3207 3208 3209 3210 3211 3212 3213 3214 3215 3216 3217 3218 3219 3221 3229 3232 3233 3234 3235 3238 3239 3241 3242 3243 3244 3245 3248 3249 3255 3256 3257 3260 3261 3262 3265 3266 3281 3282 3283 3401 3466 3654 3668 3717 3724 3984 5479 5480 5481 5530 5617 5618 5642 5643 5644 5645 5646 5647 5648 5652 5655 5656 5664 5666 5667 5677 5678 5679 5680 5681 5682 5683 5684 5685 5686 5687 5688 5689 5690 5746 5756 5785 5793 6519 6520 6521 6522 6523 6524 6525 6526 6527 6528 6529 6531 6532 6533 6534 6535 6542 6544 6545 6546 6547 6548 6549 6550 6551 6552 6553 6554 6555 6556 6557 6558 6559 6560 6561 6562 6563 6564 6565 6566 6567 6568 6569 6573 6578 6596 6598 6599 6611 6612 6613 6619 6620 6622 6624 6625 6626 6627 6683 6684 6685 6686 6687 6688 6689 6690 6691 6692 6693 6694 6695 6696 6697 6698 6699 6700 6701 6702 6703 6704 6705 6706 6707 6708 6827 6839 6844 6849 6862 6896 7087
719,2343 2798 2803 2804 2805 2806 2825 2842 2849 2851 2852 2855 2857 2895 2931 3301 3352 3373 3374 3403 3592 3874 3875 3876 3949 5435 5654 5784 6614 6615 6616 6617 6618 6621 6623 6788 6824 6931
